"B17021_001E","B17021_001M","B17021_002E","B17021_002M","B17021_003E","B17021_003M","B17021_004E","B17021_004M","B17021_005E","B17021_005M","B17021_006E","B17021_006M","B17021_007E","B17021_007M","B17021_008E","B17021_008M","B17021_009E","B17021_009M","B17021_010E","B17021_010M","B17021_011E","B17021_011M","B17021_012E","B17021_012M","B17021_013E","B17021_013M","B17021_014E","B17021_014M","B17021_015E","B17021_015M","B17021_016E","B17021_016M","B17021_017E","B17021_017M","B17021_018E","B17021_018M","B17021_019E","B17021_019M","B17021_020E","B17021_020M","B17021_021E","B17021_021M","B17021_022E","B17021_022M","B17021_023E","B17021_023M","B17021_024E","B17021_024M","B17021_025E","B17021_025M","B17021_026E","B17021_026M","B17021_027E","B17021_027M","B17021_028E","B17021_028M","B17021_029E","B17021_029M","B17021_030E","B17021_030M","B17021_031E","B17021_031M","B17021_032E","B17021_032M","B17021_033E","B17021_033M","B17021_034E","B17021_034M","B17021_035E","B17021_035M","GEO_ID","NAME"
"626","173","20","31","20","31","0","13","0","13","0","13","20","31","0","13","0","13","0","13","20","31","0","13","20","31","0","13","0","13","0","13","0","13","0","13","606","173","595","171","512","181","512","181","0","13","83","92","49","76","49","76","0","13","34","54","34","54","0","13","11","24","0","13","0","13","0","13","11","24","1500000US060855120052","Block Group 2, Census Tract 5120.05, Santa Clara County, California"
"824","285","31","28","9","15","9","15","0","13","9","15","0","13","0","13","0","13","0","13","0","13","0","13","0","13","22","25","14","22","14","22","0","13","8","11","793","290","778","289","558","254","558","254","0","13","220","183","40","65","40","65","0","13","180","173","165","160","15","25","15","28","0","13","0","13","0","13","15","28","1500000US060855120053","Block Group 3, Census Tract 5120.05, Santa Clara County, California"
"1707","649","43","50","43","50","0","13","0","13","0","13","43","50","0","13","0","13","0","13","43","50","30","47","13","20","0","13","0","13","0","13","0","13","0","13","1664","650","1538","645","875","238","875","238","0","13","663","614","39","62","39","62","0","13","624","640","624","640","0","13","126","79","85","54","49","44","36","33","41","36","1500000US060855120054","Block Group 4, Census Tract 5120.05, Santa Clara County, California"
"1999","531","91","180","91","180","91","180","91","180","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","1908","499","1771","509","1523","480","1523","480","0","13","248","168","36","56","36","56","0","13","212","167","198","155","14","24","137","99","91","64","53","47","38","42","46","44","1500000US060855120055","Block Group 5, Census Tract 5120.05, Santa Clara County, California"
"854","286","58","68","43","60","5","10","0","13","5","10","38","59","38","59","0","13","38","59","0","13","0","13","0","13","15","34","0","13","0","13","0","13","15","34","796","248","691","216","582","204","577","205","5","11","109","120","109","120","109","120","0","13","0","13","0","13","0","13","105","89","91","82","91","82","0","13","14","33","1500000US060855120191","Block Group 1, Census Tract 5120.19, Santa Clara County, California"
"1952","475","349","272","164","246","0","13","0","13","0","13","164","246","0","13","0","13","0","13","164","246","164","246","0","13","185","134","38","33","10","16","28","29","147","122","1603","388","1153","366","725","362","719","357","6","17","428","248","178","182","178","182","0","13","250","178","240","174","10","17","450","202","250","103","130","68","120","81","200","120","1500000US060855120192","Block Group 2, Census Tract 5120.19, Santa Clara County, California"
"1898","385","46","36","11","17","0","13","0","13","0","13","11","17","11","17","0","13","11","17","0","13","0","13","0","13","35","32","0","13","0","13","0","13","35","32","1852","372","1691","355","1168","327","1140","319","28","36","523","228","244","197","244","197","0","13","279","165","268","152","11","19","161","143","51","40","21","24","30","31","110","115","1500000US060855120193","Block Group 3, Census Tract 5120.19, Santa Clara County, California"
"1566","577","14","18","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","14","18","0","13","0","13","0","13","14","18","1552","574","1363","595","1163","570","1163","570","0","13","200","290","200","290","200","290","0","13","0","13","0","13","0","13","189","169","119","101","55","60","64","79","70","78","1500000US060855120211","Block Group 1, Census Tract 5120.21, Santa Clara County, California"
"1755","626","39","41","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","39","41","39","41","19","28","20","33","0","13","1716","625","1535","636","1510","636","1510","636","0","13","25","42","0","13","0","13","0","13","25","42","25","42","0","13","181","117","160","114","160","114","0","13","21","34","1500000US060855120212","Block Group 2, Census Tract 5120.21, Santa Clara County, California"
"934","378","10","17","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","10","17","10","17","10","17","0","13","0","13","924","380","913","382","722","313","722","313","0","13","191","250","191","250","181","249","10","16","0","13","0","13","0","13","11","21","11","21","11","21","0","13","0","13","1500000US060855120213","Block Group 3, Census Tract 5120.21, Santa Clara County, California"
"2193","647","450","321","398","306","178","241","178","241","0","13","220","223","43","75","43","75","0","13","177","212","147","169","30","49","52","67","0","13","0","13","0","13","52","67","1743","686","1655","697","1214","639","1214","639","0","13","441","287","87","129","77","129","10","18","354","251","294","217","60","71","88","48","88","48","69","48","19","32","0","13","1500000US060855120214","Block Group 4, Census Tract 5120.21, Santa Clara County, California"
